Year    Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec     Annual
1944	M	M	M	M	M	M	M	M	4.05	9.88	6.44	6.53	M
1991	4.42	8.37	5.73	5.22	4.86	2.08	5.69	11.45	18.68	12.99	14.88	12.08	106.45
1992	12.77	8.09	7.92	3.81	9.01	3.35	5.11	6.79	12.61	8.69	10.95	8.11	97.21
1993	12.36	8.67	5.60	3.10	2.33	1.18	2.68	2.79	8.71	11.32	16.78	10.12	85.64
1994	9.41	2.58	8.49	4.67	4.84	2.30	3.59	4.33	16.39	16.75	12.07	7.77	93.19
1995	2.12	3.52	4.43	2.75	2.80	2.09	4.85	5.46	6.80	10.20	8.34	5.95	59.31
1996	5.34	8.36	7.90	3.85	1.49	6.32	1.99	6.91	14.66	8.81	4.05	M	M
1997	M	M	M	M	M	M	M	M	M	M	M	M	M
1998	M	M	M	3.83	2.99	2.13	3.49	11.10	11.06	13.83	4.25	7.01	M
1999	15.33	3.48	4.71	8.47	6.75	2.39	3.47	6.71	11.43	18.70	9.01	14.56	105.01
2000	8.75	3.60	5.94	5.83	4.56	4.11	5.45	5.92	13.35	13.08	9.68	5.58	85.85
2001	9.67	5.14	8.26	3.93	6.09	1.50	3.94	2.50	10.78	11.89	6.08	6.30	76.08
2002	5.80	10.59	2.67	1.05	2.82	1.80	4.81	11.57	8.14	13.15	8.62	6.22	77.24
2003	5.60	2.84	3.67	1.27	3.05	3.75	1.67	5.99	11.78	7.44	12.91	8.53	68.50
2004	7.70	7.84	9.65	4.05	2.34	0.51	3.91	2.92	11.77	10.64	19.67	15.50	96.50
2005	7.37	6.55	4.71	3.62	1.15	2.25	6.46	9.86	14.26	10.40	16.81	10.18	93.62
2006	6.79	3.86	1.47	5.28	6.38	3.09	3.89	12.53	16.63	15.85	2.89	11.87	90.53
2007	7.11	3.17	5.63	3.16	4.31	0.88	5.70	2.19	12.02	16.74	6.27	6.23	73.41
2008	9.39	5.45	5.66	5.35	3.11	1.78	6.54	4.79	14.00	19.93	8.00	3.58	87.58
2009	13.75	7.59	6.35	1.45	1.94	1.75	0.80	9.73	9.43	7.82	11.09	3.58	75.28
2010	4.94	2.38	10.45	2.52	1.86	3.18	5.37	3.71	4.76	14.64	8.88	2.26	64.95
2011	6.14	7.20	3.01	4.27	1.39	3.38	4.98	12.85	10.56	11.44	11.75	11.38	88.35
2012	8.97	4.52	6.28	2.50	6.48	4.47	3.90	6.25	16.57	5.92	4.92	6.78	77.56
2013	9.34	11.69	3.81	7.67	5.85	2.44	4.82	3.44	7.95	13.62	12.24	13.76	96.63
2014	12.81	1.73	5.62	3.99	0.72	5.95	6.53	13.93	10.93	10.58	8.96	6.37	88.12
2015	14.28	5.49	7.73	9.80	0.34	4.50	10.63	12.78	17.17	10.59	15.14	M	M
2016	7.24	3.49	3.34	4.63	7.22	3.11	4.43	7.29	13.42	4.78	8.07	9.41	76.43
2017	9.20	6.56	4.28	3.42	4.65	3.67	4.09	9.07	15.40	11.82	3.11	6.33	81.60
2018	4.59	4.87	3.90	3.30	6.05	3.16	2.99	9.00	3.55	9.75	8.85	7.86	67.87
2019	6.88	3.56	3.71	5.10	3.59	3.31	3.38	1.62	12.69	9.14	14.62	9.10	76.70
2020	7.23	13.38	6.42	6.86	1.88	4.42	6.57	8.93	4.67	12.60	11.24	12.35	96.55
2021	8.52	7.52	10.28	5.13	5.10	4.27	1.67	9.30	9.69	11.91	9.02	4.52	86.93
2022	12.58	15.17	6.51	2.56	2.29	1.43	7.04	9.55	14.15	16.83	8.19	5.71	102.01
2023	8.19	5.93	3.09	4.97	5.38	4.82	1.84	8.27	18.79	13.87	14.80	15.28	105.23
2024	12.02	3.75	5.54	4.31	6.30	1.31	9.83	7.25	9.45	12.99	6.69	8.51	87.95
